fish_length,avg_water_velocity,p,i,d,,scenario,performance
468,1.519177263,6.312783559,0.04286119,0.42911514,,below falls,
468,3.054971263,6.533457585,0.041228705,0.537374868,,ds of chute,
468,2.433764753,6.586571638,0.058550552,0.375742474,,in chute,
570,1.584501616,10.09286796,0.045915464,3.693676326,,below falls,
570,3.087020743,10.95905712,0.059661087,2.160955573,,ds of chute,
570,4.982246293,7.40525247,0.082033163,4.96109644,,high flow speed,
570,2.478409317,9.39025718,0.010054669,2.976392948,,in chute,
598,1.540476583,13.02023933,0.066537167,2.065829151,,below falls,
598,3.07820627,14.35123506,0.065906787,5.226443353,,ds of chute,
598,4.990013482,10.14129754,0.034585632,4.298421721,,high flow speed,
598,2.402084451,14.4356557,0.063009443,2.37480848,,in chute,
626,1.623439533,16.01812933,0.071564652,3.102265472,,below falls,
626,3.123236361,15.61819308,0.054137043,3.066750266,,ds of chute,
626,4.982246293,6.114937107,0.024575411,10.12082494,,high flow speed,array length only goes to 4 after 5 gens with 50 inds
626,2.581809656,16.93291565,0.667407636,3.792926854,,in chute,
698,1.644333713,23.4626929,0.221879422,0.977877924,,below falls,
698,3.108597185,19.07111438,0.662175393,7.152341757,,ds of chute,array only goes to ~12
698,2.327263183,21.5811024,0.516993619,3.161070502,,in chute,
