Minutes,Fatigue,Recovery
0.01,99.9948004,0.005199599
1,81.6276611,18.3723389
2,66.49775506,33.50224494
3,54.17221771,45.82778229
4,44.13125178,55.86874822
5,35.95140583,64.04859417
6,29.28771628,70.71228372
7,23.85915947,76.14084053
8,19.43680024,80.56319976
9,15.83413715,84.16586285
10,12.89923734,87.10076266
11,10.50832908,89.49167092
12,8.560582087,91.43941791
13,6.973855224,93.02614478
14,5.681232443,94.31876756
15,4.628200764,95.37179924
16,3.770351332,96.22964867
17,3.071506595,96.92849341
18,2.502194605,97.4978054
19,2.03840612,97.96159388
20,1.660582075,98.33941792
21,1.352788731,98.64721127
22,1.10204571,98.89795429
23,0.89777858,99.10222142
24,0.731372911,99.26862709
25,0.595810979,99.40418902
26,0.485375815,99.51462418
27,0.395410105,99.60458989
28,0.322119781,99.67788022
29,0.262414015,99.73758598
30,0.213774873,99.78622513
31,0.174151127,99.82584887
32,0.141871748,99.85812825
33,0.115575439,99.88442456
34,0.094153221,99.90584678
35,0.076701669,99.92329833
36,0.062484809,99.93751519
37,0.050903082,99.94909692
38,0.041468059,99.95853194
39,0.033781843,99.96621816
40,0.027520288,99.97247971
41,0.022419329,99.97758067
42,0.018263846,99.98173615
43,0.014878593,99.98512141
44,0.012120806,99.98787919
45,0.009874182,99.99012582
