t,x,y
0.0,522292.00668017747,5338573.288963684
0.1,522292.50674286025,5338573.291104056
0.2,522293.0068726626,5338573.293270504
0.30000000000000004,522293.50706954807,5338573.295463712
0.4,522294.0073334771,5338573.297685051
0.5,522294.50766440673,5338573.29993658
0.6000000000000001,522295.0080622907,5338573.302221043
0.7000000000000001,522295.50852707983,5338573.3045417145
0.8,522296.00905872195,5338573.306902351
0.9,522296.5096571619,5338573.309307193
1.0,522297.010322341,5338573.311760967
1.1,522297.51105419715,5338573.314268855
1.2000000000000002,522298.0118526642,5338573.316836525
1.3,522298.5127176716,5338573.319470121
1.4000000000000001,522299.0136491439,5338573.322176269
1.5,522299.5146470005,5338573.324962076
1.6,522300.0157111568,5338573.327834759
1.7000000000000002,522300.51684152475,5338573.330801531
1.8,522301.0180380124,5338573.333869599
1.9000000000000001,522301.51930052374,5338573.337046164
2.0,522302.02062895836,5338573.340338422
2.1,522302.52202321106,5338573.34375356
2.2,522303.0234831717,5338573.347298762
2.3000000000000003,522303.5250087249,5338573.350981199
2.4000000000000004,522304.0265997494,5338573.354808038
2.5,522304.5282561183,5338573.358786437
2.6,522305.0299776984,5338573.362923544
2.7,522305.5317643501,5338573.367226499
2.8000000000000003,522306.03361592686,5338573.371702433
2.9000000000000004,522306.5355322753,5338573.376358465
3.0,522307.0375132345,5338573.381201707
3.1,522307.5395586361,5338573.386239256
3.2,522308.04166830383,5338573.391478201
3.3000000000000003,522308.5438420532,5338573.396925619
3.4000000000000004,522309.0460796913,5338573.402588574
3.5,522309.54838101653,5338573.408474119
3.6,522310.0507458183,5338573.414589293
3.7,522310.5531738768,5338573.420941123
3.8000000000000003,522311.0556649627,5338573.427536621
3.9000000000000004,522311.5582188369,5338573.434382786
4.0,522312.0608352504,5338573.441486604
4.1000000000000005,522312.56351394387,5338573.448855043
4.2,522313.0662546474,5338573.45649506
4.3,522313.5690570804,5338573.464413592
4.4,522314.07192095136,5338573.472617563
4.5,522314.57484595734,5338573.48111388
4.6000000000000005,522315.0778317841,5338573.489909434
4.7,522315.5808781056,5338573.499011097
4.800000000000001,522316.0839845839,5338573.508425725
4.9,522316.5871508689,5338573.518160155
5.0,522317.0903765982,5338573.528221207
5.1000000000000005,522317.5936613966,5338573.53861568
5.2,522318.0970048763,5338573.549350358
5.300000000000001,522318.60040663637,5338573.560432
5.4,522319.1038662627,5338573.57186735
5.5,522319.60738332773,5338573.583663128
5.6000000000000005,522320.11095739034,5338573.595826036
5.7,522320.6145879955,5338573.608362754
5.800000000000001,522321.1182746742,5338573.621279939
5.9,522321.62201694335,5338573.6345842285
6.0,522322.1258143053,5338573.648282236
6.1000000000000005,522322.62966624805,5338573.662380555
6.2,522323.1335722447,5338573.676885751
6.300000000000001,522323.63753175363,5338573.691804371
6.4,522324.14154421806,5338573.707142935
6.5,522324.645609066,5338573.72290794
6.6000000000000005,522325.1497257102,5338573.739105858
6.7,522325.6538935479,5338573.755743137
6.800000000000001,522326.1581119605,5338573.772826198
6.9,522326.66238031385,5338573.790361437
7.0,522327.1666979577,5338573.808355224
7.1000000000000005,522327.6710642259,5338573.826813904
7.2,522328.17547843594,5338573.84574379
7.300000000000001,522328.6799398892,5338573.865151173
7.4,522329.1844478705,5338573.885042314
7.5,522329.68900164816,5338573.905423447
7.6000000000000005,522330.193600474,5338573.926300774
7.7,522330.69824358297,5338573.947680473
7.800000000000001,522331.2029301932,5338573.96956869
7.9,522331.70765950606,5338573.991971542
8.0,522332.2124307058,5338574.014895116
8.1,522332.71724295954,5338574.038345468
8.200000000000001,522333.2220954174,5338574.062328625
8.3,522333.7269872122,5338574.08685058
8.4,522334.2319174595,5338574.111917297
8.5,522334.7368852576,5338574.137534709
8.6,522335.24188968726,5338574.163708713
8.700000000000001,522335.7469298119,5338574.190445176
8.8,522336.2520046775,5338574.217749932
8.9,522336.7571133125,5338574.245628781
9.0,522337.2622547277,5338574.27408749
9.1,522337.7674279165,5338574.30313179
9.200000000000001,522338.2726318547,5338574.33276738
9.3,522338.77786550036,5338574.362999924
9.4,522339.28312779404,5338574.39383505
9.5,522339.7884176587,5338574.42527835
9.600000000000001,522340.29373399966,5338574.45733538
9.700000000000001,522340.79907570465,5338574.490011661
9.8,522341.3044416438,5338574.523312679
9.9,522341.8098306698,5338574.557243879
10.0,522342.3152416176,5338574.591810672
10.100000000000001,522342.82067330484,5338574.627018429
10.200000000000001,522343.32612453157,5338574.662872486
10.3,522343.8315940805,5338574.6993781375
10.4,522344.33708071685,5338574.736540642
10.5,522344.8425831886,5338574.774365217
10.600000000000001,522345.34810022643,5338574.812857043
10.700000000000001,522345.85363054386,5338574.852021259
10.8,522346.3591728373,5338574.891862965
10.9,522346.86472578597,5338574.93238722
11.0,522347.3702880523,5338574.973599042
11.100000000000001,522347.87585828174,5338575.015503409
11.200000000000001,522348.3814351029,5338575.058105258
11.3,522348.8870171278,5338575.101409485
11.4,522349.39260295185,5338575.145420941
11.5,522349.8981911539,5338575.190144437
11.600000000000001,522350.4037802965,5338575.235584743
11.700000000000001,522350.90936892596,5338575.281746584
11.8,522351.4149555725,5338575.328634641
11.9,522351.9205387503,5338575.376253555
12.0,522352.4261169577,5338575.424607919
12.100000000000001,522352.9316886773,5338575.4737022845
12.200000000000001,522353.43725237617,5338575.52354116
12.3,522353.94280650397,5338575.574129027
12.4,522354.44834949495,5338575.6254703235
12.5,522354.95387976826,5338575.677569442
12.600000000000001,522355.459395728,5338575.73043073
12.700000000000001,522355.9648957635,5338575.784058487
12.8,522356.4703782494,5338575.838456969
12.9,522356.975841546,5338575.893630383
13.0,522357.4812839993,5338575.94958289
13.100000000000001,522357.98670394113,5338576.006318605
13.200000000000001,522358.49209968967,5338576.063841593
13.3,522358.99746954924,5338576.122155876
13.4,522359.5028118108,5338576.181265424
13.5,522360.00812475214,5338576.2411741605
13.600000000000001,522360.51340663794,5338576.30188596
13.700000000000001,522361.01865572017,5338576.363404648
13.8,522361.52387023816,5338576.425734004
13.9,522362.0290484191,5338576.488877756
14.0,522362.5341884779,5338576.552839582
14.100000000000001,522363.0392886177,5338576.617623111
14.200000000000001,522363.5443470302,5338576.683231925
14.3,522364.04936189565,5338576.749669551
14.4,522364.55433138314,5338576.816939469
14.5,522365.0592536511,5338576.885045109
14.600000000000001,522365.5641268474,5338576.953989849
14.700000000000001,522366.0689491097,5338577.023777016
14.8,522366.57371856546,5338577.094409886
14.9,522367.0784333326,5338577.165891684
15.0,522367.58309151966,5338577.238225582
15.100000000000001,522368.0876912259,5338577.311414704
15.200000000000001,522368.59223054186,5338577.385462118
15.3,522369.0967075494,5338577.460370843
15.4,522369.6011203223,5338577.536143843
15.5,522370.10546692624,5338577.612784032
15.600000000000001,522370.6097454194,5338577.6902942695
15.700000000000001,522371.1139538526,5338577.768677364
15.8,522371.6180902696,5338577.84793607
15.9,522372.1221527076,5338577.928073088
16.0,522372.62613919727,5338578.009091066
16.1,522373.1300477634,5338578.0909926
16.2,522373.633876425,5338578.17378023
16.3,522374.1376231957,5338578.257456444
16.400000000000002,522374.64128608425,5338578.342023676
16.5,522375.1448630945,5338578.427484306
16.6,522375.648352226,5338578.513840658
16.7,522376.1517514744,5338578.601095004
16.8,522376.6550588316,5338578.689249561
16.900000000000002,522377.15827228624,5338578.778306492
17.0,522377.661389824,5338578.868267903
17.1,522378.1644094279,5338578.959135849
17.2,522378.66732907883,5338579.050912328
17.3,522379.1701467558,5338579.143599283
17.400000000000002,522379.67286043626,5338579.237198602
17.5,522380.1754680965,5338579.331712119
17.6,522380.6779677121,5338579.427141612
17.7,522381.1803572582,5338579.523488804
17.8,522381.6826347099,5338579.620755362
17.900000000000002,522382.18479804276,5338579.718942899
18.0,522382.6868452329,5338579.818052972
18.1,522383.1887742577,5338579.918087081
18.2,522383.69058309594,5338580.019046674
18.3,522384.1922697282,5338580.120933139
18.400000000000002,522384.6938321375,5338580.223747811
18.5,522385.1952683093,5338580.32749197
18.6,522385.69657623227,5338580.432166838
