Kp,Ki,Kd,rms_err_rad
0.2,0.0,0.0,0.0
0.2,0.0,0.1,0.015010370011669313
0.2,0.0,0.5,0.014319545818839955
0.2,0.01,0.0,0.0
0.2,0.01,0.1,0.014761846342143623
0.2,0.01,0.5,0.014080229630594094
0.2,0.05,0.0,0.0
0.2,0.05,0.1,0.013779221956461927
0.2,0.05,0.5,0.013134710516304753
0.5,0.0,0.0,0.0
0.5,0.0,0.1,0.012220798467657787
0.5,0.0,0.5,0.011691012199455415
0.5,0.01,0.0,0.0
0.5,0.01,0.1,0.01200381919414632
0.5,0.01,0.5,0.01148229548801715
0.5,0.05,0.0,0.0
0.5,0.05,0.1,0.011152341007619975
0.5,0.05,0.5,0.010664176895429525
1.0,0.0,0.0,0.0
1.0,0.0,0.1,0.008761405742802309
1.0,0.0,0.5,0.008433663553966598
1.0,0.01,0.0,0.0
1.0,0.01,0.1,0.008600702968738775
1.0,0.01,0.5,0.00827947254825903
1.0,0.05,0.0,0.0
1.0,0.05,0.1,0.007987379683593658
1.0,0.05,0.5,0.00769227765316857
