id,line,context,prev_line,match_line,next_line,risk,recommendation
1,84,_safe_build_kdtree,return None,except Exception:,"logger.exception('%s: unexpected error while building cKDTree; re-raising', name)",high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
2,99,_safe_build_kdtree,_HAS_NUMBA = True,except Exception:,numba = None,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
3,104,_safe_build_kdtree,logging.getLogger(__name__).warning('Numba import failed; falling back to pure-Python implementations'),except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
4,191,save,"logger.info(""Saved behavioral weights to %s"", filepath)",except Exception:,try:,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
5,194,save,logger.exception('Collision response failed; skipping collision handling for this timestep'),except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
6,207,load,logger.exception('Collision response failed; skipping collision handling for this timestep'),except Exception:,logger.exception('Unexpected error in collision response; re-raising'),high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
7,625,,metrics['collision_count'] = 0,except Exception:,logger.exception('Unexpected error computing collision metrics; re-raising'),high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
8,649,,metrics['shallow_count'] = shallow_count,except Exception:,metrics['dry_count'] = 0,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
9,708,,metrics['mean_upstream_velocity'] = float(np.mean(self.sim._upstream_vel_buf)),except Exception:,metrics['mean_upstream_velocity'] = 0.0,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
10,751,,"logger.info(""Starting RL training: %s episodes %s timesteps"", num_episodes, timesteps_per_episode)",except Exception:,pass,high,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
11,771,,"logger.info(""Episode %s: New best reward = %0.2f"", episode, episode_reward)",except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
12,793,,del self.sim._last_drag_reductions,except Exception:,pass,low,"Replace broad except with specific exceptions (e.g., ValueError, TypeError, IndexError, OSError) and use logger.exception; re-raise unexpected errors."
