t,agent,err_deg,derr_deg,P_deg,I_deg,D_deg,raw_deg,rud_deg
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1,0.0,-360.0,0.0,0.0,-180.0,-180.0,-180.0
0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1,0.04395565061750979,0.08834044765722784,0.04395565061750979,0.00021977825308754897,0.04417022382861392,0.08834565269921127,0.08834565269921127
1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1,0.0879165138352986,0.08878005628940573,0.0879165138352986,0.0006593608222640419,0.044390028144702866,0.13296590280226553,0.13296590280226553
1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,1,0.13129969674738545,0.08804822546181486,0.13129969674738545,0.0013158593060009693,0.04402411273090743,0.17663966878429385,0.17663966878429385
2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1,0.17391367905383537,0.08692583095198407,0.17391367905383537,0.0021854277012701463,0.043462915475992035,0.21956202223109755,0.21956202223109755
2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,1,0.21557021157510414,0.0854175776224978,0.21557021157510414,0.003263278759145667,0.0427087888112489,0.2615422791454987,0.2615422791454987
3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1,0.256085152514263,0.08352988306569542,0.256085152514263,0.004543704521716982,0.04176494153284771,0.3023937985688277,0.3023937985688277
3.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,1,0.2952792860904009,0.08127085034580216,0.2952792860904009,0.0060201009521689865,0.04063542517290108,0.3419348122154709,0.3419348122154709
4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1,0.332979119910604,0.07865023325606928,0.332979119910604,0.007684996551722007,0.03932511662803464,0.37998923309036076,0.37998923309036076
4.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,1,0.3690176575428709,0.07567939423849272,0.3690176575428709,0.009530084839436362,0.03783969711924636,0.41638743950155366,0.41638743950155366
5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1,0.4032351428260072,0.07237125514825714,0.4032351428260072,0.011546260553566398,0.03618562757412857,0.45096703095370216,0.45096703095370216
5.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,1,0.43547977262852033,0.0687402410755136,0.43547977262852033,0.013723659416708998,0.0343701205377568,0.4835735525829861,0.4835735525829861
6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,1,0.4656083748507691,0.06480221746916716,0.4656083748507691,0.016051701290962842,0.03240110873458358,0.5140611848763156,0.5140611848763156
6.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,1,0.49348704866970455,0.06057442083637232,0.49348704866970455,0.018519136534311365,0.03028721041818616,0.542293395622202,0.542293395622202
7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,1,0.518991764141517,0.05607538332022726,0.518991764141517,0.02,0.02803769166011363,0.5670294558016308,0.5670294558016308
7.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,1,0.54201380249411,0.05133466718575495,0.54201380249411,0.02,0.025667333592877473,0.5876811360869876,0.5876811360869876
8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1,0.5624623366333481,0.04638717040276516,0.5624623366333481,0.02,0.02319358520138258,0.6056559218347307,0.6056559218347307
8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,1,0.580258263073211,0.04125556927592166,0.580258263073211,0.02,0.02062778463796083,0.620886047711172,0.620886047711172
9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,1,0.5953345003884609,0.035963254404168296,0.5953345003884609,0.02,0.017981627202084148,0.6333161275905451,0.6333161275905451
9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.5,1,0.6076362334352371,0.030534224598694374,0.6076362334352371,0.02,0.015267112299347187,0.6429033457345843,0.6429033457345843
10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,1,0.6171211025125876,0.02499297857489492,0.6171211025125876,0.02,0.01249648928744746,0.6496175918000351,0.6496175918000351
10.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.5,1,0.6237593368359978,0.019364404903521214,0.6237593368359978,0.02,0.009682202451760607,0.6534415392877585,0.6534415392877585
11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1,0.6275338320096981,0.013673670714005135,0.6275338320096981,0.02,0.006836835357002568,0.6543706673667008,0.6543706673667008
11.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.5,1,0.6284401713529697,0.007946109645642855,0.6284401713529697,0.02,0.0039730548228214275,0.6524132261757911,0.6524132261757911
12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,1,0.6264865912665502,0.002207109542477197,0.6264865912665502,0.02,0.0011035547712385985,0.6475901460377887,0.6475901460377887
12.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.5,1,0.6216938909985674,-0.0035179996112611207,0.6216938909985674,0.02,-0.0017589998056305603,0.639934891192937,0.639934891192937
13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,1,0.6140952874637702,-0.009204057023390333,0.6140952874637702,0.02,-0.0046020285116951665,0.629493258952075,0.629493258952075
13.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.5,1,0.6037362159863566,-0.014826181205361832,0.6037362159863566,0.02,-0.007413090602680916,0.6163231253836757,0.6163231253836757
14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,1,0.5906740780634144,-0.020359878385163576,0.5906740780634144,0.02,-0.010179939192581788,0.6004941388708327,0.6004941388708327
14.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.5,1,0.5749779375026648,-0.025781148748988042,0.5749779375026648,0.02,-0.012890574374494021,0.5820873631281708,0.5820873631281708
15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,1,0.556728166480465,-0.03106659005484605,0.556728166480465,0.02,-0.015533295027423025,0.561194871453042,0.561194871453042
15.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.5,1,0.536016043302656,-0.03619349817191797,0.536016043302656,0.02,-0.018096749085958985,0.537919294216697,0.537919294216697
16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,1,0.5129433038270682,-0.04113996411604256,0.5129433038270682,0.02,-0.02056998205802128,0.5123733217690469,0.5123733217690469
16.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.5,1,0.48762164875127767,-0.045884967169142525,0.48762164875127767,0.02,-0.022942483584571263,0.4846791651667064,0.4846791651667064
17.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,1,0.46017220909489626,-0.050408463688924654,0.46017220909489626,0.02,-0.025204231844462327,0.4549679772504339,0.4549679772504339
17.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.5,1,0.43072497242964447,-0.05469147123570022,0.43072497242964447,0.02,-0.02734573561785011,0.4233792368117944,0.4233792368117944
18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,1,0.399418172531926,-0.05871614766648495,0.399418172531926,0.02,-0.029358073833242473,0.3900600986986835,0.3900600986986835
18.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.5,1,0.3663976453254408,-0.062465864868629296,0.3663976453254408,0.02,-0.031232932434314648,0.3551647128911261,0.3551647128911261
19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,1,0.33181615407938625,-0.06592527683172958,0.33181615407938625,0.02,-0.03296263841586479,0.3188535156635215,0.3188535156635215
19.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.5,1,0.29583268696326204,-0.06908038178152542,0.29583268696326204,0.02,-0.03454019089076271,0.28129249607249934,0.28129249607249934
